route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RW",1,1792,"Wall St./Pier 11",2207,1,22,7
"RW",1,1793,"Wall St./Pier 11",2109,1,21,7
"RW",1,1794,"Wall St./Pier 11",2209,1,22,7
"RW",1,1795,"Wall St./Pier 11",2111,1,21,7
"RW",1,1796,"Wall St./Pier 11",2211,1,22,7
"RW",1,1797,"Wall St./Pier 11",2113,1,21,7
"RW",1,1798,"Wall St./Pier 11",2213,1,22,7
"RW",1,1799,"Wall St./Pier 11",2115,1,21,7
"RW",2,1800,"Rockaway",2201,0,22,8
"RW",2,1801,"Rockaway",2102,0,21,8
"RW",2,1802,"Rockaway",2203,0,22,8
"RW",2,1803,"Rockaway",2104,0,21,8
"RW",2,1804,"Rockaway",2205,0,22,8
"RW",2,1805,"Rockaway",2106,0,21,8
"RW",2,1806,"Rockaway",2207,0,22,8
"RW",2,1807,"Rockaway",2108,0,21,8
"RW",2,1808,"Rockaway",2209,0,22,8
"RW",2,1809,"Rockaway",2110,0,21,8
"RW",2,1810,"Rockaway",2211,0,22,8
"RW",2,1811,"Wall St./Pier 11",2101,1,21,7
"RW",2,1812,"Wall St./Pier 11",2202,1,22,7
"RW",2,1813,"Wall St./Pier 11",2103,1,21,7
"RW",2,1814,"Wall St./Pier 11",2204,1,22,7
"RW",2,1816,"Wall St./Pier 11",2105,1,21,7
"RW",2,1825,"Wall St./Pier 11",2206,1,22,7
"RW",2,1826,"Wall St./Pier 11",2107,1,21,7
"RW",2,1827,"Wall St./Pier 11",2208,1,22,7
"RW",2,1828,"Wall St./Pier 11",2109,1,21,7
"RW",2,1829,"Wall St./Pier 11",2210,1,22,7
"RW",2,1831,"Wall St./Pier 11",2111,1,21,7
"SB",1,1914,"Sunset Park/BAT Limited",3301,0,33,117
"SB",1,1915,"Bay Ridge Limited",3202,0,32,79
"SB",1,1916,"Sunset Park/BAT Limited",3102,0,31,115
"SB",1,1917,"Bay Ridge Limited",3204,0,32,79
"SB",1,1918,"Sunset Park/BAT Limited",3303,0,33,115
"SB",1,1919,"Bay Ridge Limited",3206,0,32,79
"SB",1,1920,"Sunset Park/BAT Limited",3104,0,31,115
"SB",1,1921,"Bay Ridge Limited",3208,0,32,79
"SB",1,1922,"Bay Ridge",3305,0,33,46
"SB",1,1923,"Bay Ridge",3106,0,31,46
"SB",1,1924,"Bay Ridge",3307,0,33,46
"SB",1,1925,"Bay Ridge",3108,0,31,46
"SB",1,1932,"Bay Ridge",3210,0,32,46
"SB",1,1933,"Bay Ridge",3309,0,33,46
"SB",1,1934,"Sunset Park/BAT Limited",3110,0,31,115
"SB",1,1957,"Bay Ridge Limited",3212,0,32,119
"SB",1,1958,"Sunset Park/BAT Limited",3311,0,33,115
"SB",1,1959,"Bay Ridge Limited",3214,0,32,119
"SB",1,1960,"Sunset Park/BAT Limited",3112,0,31,117
"SB",1,1961,"Bay Ridge Limited",3216,0,32,79
"SB",1,1962,"Sunset Park/BAT Limited",3313,0,33,117
"SB",1,1963,"Bay Ridge Limited",3218,0,32,79
"SB",1,1964,"Bay Ridge",3315,0,33,106
"SB",1,1965,"Bay Ridge",3220,0,32,106
"SB",1,1966,"Corlears Hook Limited",3101,1,31,118
"SB",1,1967,"Wall St./Pier 11 Limited",3201,1,32,80
"SB",1,1968,"Corlears Hook Limited",3302,1,33,116
"SB",1,1969,"Wall St./Pier 11 Limited",3203,1,32,80
"SB",1,1970,"Corlears Hook Limited",3103,1,31,116
"SB",1,1971,"Wall St./Pier 11 Limited",3205,1,32,80
"SB",1,1972,"Corlears Hook Limited",3304,1,33,116
"SB",1,1973,"Wall St./Pier 11 Limited",3207,1,32,80
"SB",1,1974,"Corlears Hook Limited",3105,1,31,116
"SB",1,1975,"Corlears Hook",3209,1,32,45
"SB",1,1976,"Corlears Hook",3306,1,33,45
"SB",1,1977,"Corlears Hook",3107,1,31,45
"SB",1,2007,"Corlears Hook",3308,1,33,45
"SB",1,2009,"Corlears Hook",3109,1,31,45
"SB",1,2011,"Corlears Hook",3211,1,32,45
"SB",1,2013,"Corlears Hook",3310,1,33,45
"SB",1,2015,"Corlears Hook Limited",3111,1,31,116
"SB",1,2018,"Wall St./Pier 11 Limited",3213,1,32,120
"SB",1,2021,"Corlears Hook Limited",3312,1,33,116
"SB",1,2023,"Wall St./Pier 11 Limited",3215,1,32,80
"SB",1,2033,"Corlears Hook Limited",3113,1,31,118
"SB",1,2035,"Wall St./Pier 11 Limited",3217,1,32,80
"SB",1,2037,"Corlears Hook Limited",3314,1,33,118
"SB",1,2039,"Wall St./Pier 11 Limited",3219,1,32,80
"SB",2,2044,"Bay Ridge",3201,0,32,46
"SB",2,2047,"Bay Ridge",3102,0,31,46
"SB",2,2049,"Bay Ridge",3203,0,32,46
"SB",2,2050,"Bay Ridge",3104,0,31,46
"SB",2,2051,"Bay Ridge",3205,0,32,46
"SB",2,2052,"Bay Ridge",3106,0,31,46
"SB",2,2053,"Bay Ridge",3207,0,32,46
"SB",2,2054,"Bay Ridge",3108,0,31,46
"SB",2,2055,"Bay Ridge",3209,0,32,106
"SB",2,2056,"Bay Ridge",3110,0,31,106
"SB",2,2057,"Bay Ridge",3211,0,32,106
"SB",2,2058,"Corlears Hook",3101,1,31,45
"SB",2,2059,"Corlears Hook",3202,1,32,45
"SB",2,2060,"Corlears Hook",3103,1,31,45
"SB",2,2061,"Corlears Hook",3204,1,32,45
"SB",2,2062,"Corlears Hook",3105,1,31,45
"SB",2,2063,"Corlears Hook",3206,1,32,45
"SB",2,2064,"Corlears Hook",3107,1,31,45
"SB",2,2065,"Corlears Hook",3208,1,32,45
"SB",2,2066,"Corlears Hook",3109,1,31,105
"SB",2,2067,"Corlears Hook",3210,1,32,105
"SB",2,2068,"Corlears Hook",3111,1,31,105
"AS",1,2069,"East 90th St",4301,1,43,107
"AS",1,2070,"East 90th St",4102,1,41,107
"AS",1,2071,"East 90th St",4202,1,42,107
